Position_race,Abbreviation,DriverNumber_race,TeamName_race,GridPosition,Status,IsFinished,RetirementCategory,IsWetRace,Year,Round,Position_quali,BestLap_Sec,IsWetQuali,Circuit,TrackLength_km,Corners,Type,OvertakingDifficulty,PositionDelta,DriverForm,DriverCircuitForm,TeamForm,IsRookieRace,IsNewCircuit
20.0,SIR,35,Williams,11.0,Collision,0,Other,0,2018,4,12.0,103.886,1,Baku,6.003,20,Street,Difficult,9.0,16.666666666666668,,16.666666666666668,0,1
1.0,HAM,44,Mercedes,1.0,Finished,1,Finished,1,2018,5,1.0,76.173,1,Barcelona,4.655,16,Permanent,Difficult,0.0,2.6666666666666665,,2.6666666666666665,0,1
2.0,BOT,77,Mercedes,2.0,Finished,1,Finished,1,2018,5,2.0,76.213,1,Barcelona,4.655,16,Permanent,Difficult,0.0,6.0,,6.0,0,1
3.0,VER,33,Red Bull Racing,5.0,Finished,1,Finished,1,2018,5,5.0,76.816,1,Barcelona,4.655,16,Permanent,Difficult,-2.0,13.333333333333334,,13.333333333333334,0,1
4.0,VET,5,Ferrari,3.0,Finished,1,Finished,1,2018,5,3.0,76.305,1,Barcelona,4.655,16,Permanent,Difficult,1.0,4.333333333333333,,4.333333333333333,0,1
5.0,RIC,3,Red Bull Racing,6.0,Finished,1,Finished,1,2018,5,6.0,76.818,1,Barcelona,4.655,16,Permanent,Difficult,-1.0,12.666666666666666,,12.666666666666666,0,1
6.0,MAG,20,Haas F1 Team,7.0,+1 Lap,0,Other,1,2018,5,7.0,77.618,1,Barcelona,4.655,16,Permanent,Difficult,-1.0,9.333333333333334,,9.333333333333334,0,1
7.0,SAI,55,Alpine,9.0,+1 Lap,0,Other,1,2018,5,9.0,77.79,1,Barcelona,4.655,16,Permanent,Difficult,-2.0,8.333333333333334,,8.333333333333334,0,1
8.0,ALO,14,McLaren,8.0,+1 Lap,0,Other,1,2018,5,8.0,77.721,1,Barcelona,4.655,16,Permanent,Difficult,0.0,7.0,,7.0,0,1
9.0,PER,11,Aston Martin,15.0,+2 Laps,0,Other,1,2018,5,15.0,78.74,1,Barcelona,4.655,16,Permanent,Difficult,-6.0,10.333333333333334,,10.333333333333334,0,1
10.0,LEC,16,Kick Sauber,14.0,+2 Laps,0,Other,1,2018,5,14.0,78.661,1,Barcelona,4.655,16,Permanent,Difficult,-4.0,12.333333333333334,,12.333333333333334,0,1
11.0,STR,18,Williams,18.0,+2 Laps,0,Other,1,2018,5,19.0,80.225,1,Barcelona,4.655,16,Permanent,Difficult,-7.0,12.0,,12.0,0,1
12.0,HAR,28,Racing Bulls,20.0,+2 Laps,0,Other,1,2018,5,20.0,84.0575,1,Barcelona,4.655,16,Permanent,Difficult,-8.0,15.666666666666666,,15.666666666666666,0,1
13.0,ERI,9,Kick Sauber,17.0,+2 Laps,0,Other,1,2018,5,17.0,79.493,1,Barcelona,4.655,16,Permanent,Difficult,-4.0,12.0,,12.0,0,1
14.0,SIR,35,Williams,19.0,+3 Laps,0,Other,1,2018,5,18.0,79.695,1,Barcelona,4.655,16,Permanent,Difficult,-5.0,16.666666666666668,,16.666666666666668,0,1
15.0,VAN,2,McLaren,11.0,Gearbox,0,Mechanical,1,2018,5,11.0,78.323,1,Barcelona,4.655,16,Permanent,Difficult,4.0,10.0,,10.0,0,1
16.0,OCO,31,Aston Martin,13.0,Oil leak,0,Other,1,2018,5,13.0,78.696,1,Barcelona,4.655,16,Permanent,Difficult,3.0,13.333333333333334,,13.333333333333334,0,1
17.0,RAI,7,Ferrari,4.0,Turbo,0,Other,1,2018,5,4.0,76.612,1,Barcelona,4.655,16,Permanent,Difficult,13.0,7.666666666666667,,7.666666666666667,0,1
18.0,GRO,8,Haas F1 Team,10.0,Collision,0,Other,1,2018,5,10.0,77.699,1,Barcelona,4.655,16,Permanent,Difficult,8.0,15.0,,15.0,0,1
19.0,GAS,10,Racing Bulls,12.0,Collision,0,Other,1,2018,5,12.0,78.463,1,Barcelona,4.655,16,Permanent,Difficult,7.0,11.333333333333334,,11.333333333333334,0,1
20.0,HUL,27,Alpine,16.0,Collision,0,Other,1,2018,5,16.0,78.923,1,Barcelona,4.655,16,Permanent,Difficult,4.0,10.0,,10.0,0,1
1.0,RIC,3,Red Bull Racing,1.0,Finished,1,Finished,1,2018,6,1.0,70.81,0,Monte Carlo,3.337,19,Street,Extremely Difficult,0.0,7.666666666666667,,7.666666666666667,0,1
2.0,VET,5,Ferrari,2.0,Finished,1,Finished,1,2018,6,2.0,71.039,0,Monte Carlo,3.337,19,Street,Extremely Difficult,0.0,5.333333333333333,,5.333333333333333,0,1
3.0,HAM,44,Mercedes,3.0,Finished,1,Finished,1,2018,6,3.0,71.232,0,Monte Carlo,3.337,19,Street,Extremely Difficult,0.0,2.0,,2.0,0,1
4.0,RAI,7,Ferrari,4.0,Finished,1,Finished,1,2018,6,4.0,71.266,0,Monte Carlo,3.337,19,Street,Extremely Difficult,0.0,7.333333333333333,,7.333333333333333,0,1
5.0,BOT,77,Mercedes,5.0,Finished,1,Finished,1,2018,6,5.0,71.441,0,Monte Carlo,3.337,19,Street,Extremely Difficult,0.0,6.0,,6.0,0,1
6.0,OCO,31,Aston Martin,6.0,Finished,1,Finished,1,2018,6,6.0,72.061,0,Monte Carlo,3.337,19,Street,Extremely Difficult,0.0,15.333333333333334,,15.333333333333334,0,1
7.0,GAS,10,Racing Bulls,10.0,Finished,1,Finished,1,2018,6,10.0,72.221,0,Monte Carlo,3.337,19,Street,Extremely Difficult,-3.0,16.333333333333332,,16.333333333333332,0,1
8.0,HUL,27,Alpine,11.0,Finished,1,Finished,1,2018,6,11.0,72.411,0,Monte Carlo,3.337,19,Street,Extremely Difficult,-3.0,14.666666666666666,,14.666666666666666,0,1
9.0,VER,33,Red Bull Racing,20.0,Finished,1,Finished,1,2018,6,20.0,84.0575,0,Monte Carlo,3.337,19,Street,Extremely Difficult,-11.0,8.0,,8.0,0,1
10.0,SAI,55,Alpine,8.0,Finished,1,Finished,1,2018,6,8.0,72.13,0,Monte Carlo,3.337,19,Street,Extremely Difficult,2.0,7.0,,7.0,0,1
11.0,ERI,9,Kick Sauber,16.0,Finished,1,Finished,1,2018,6,17.0,73.265,0,Monte Carlo,3.337,19,Street,Extremely Difficult,-5.0,13.333333333333334,,13.333333333333334,0,1
12.0,PER,11,Aston Martin,9.0,Finished,1,Finished,1,2018,6,9.0,72.154,0,Monte Carlo,3.337,19,Street,Extremely Difficult,3.0,8.0,,8.0,0,1
13.0,MAG,20,Haas F1 Team,19.0,Finished,1,Finished,1,2018,6,19.0,73.393,0,Monte Carlo,3.337,19,Street,Extremely Difficult,-6.0,9.666666666666666,,9.666666666666666,0,1
14.0,VAN,2,McLaren,12.0,+1 Lap,0,Other,1,2018,6,12.0,72.44,0,Monte Carlo,3.337,19,Street,Extremely Difficult,2.0,12.333333333333334,,12.333333333333334,0,1
15.0,GRO,8,Haas F1 Team,18.0,+1 Lap,0,Other,1,2018,6,15.0,72.728,0,Monte Carlo,3.337,19,Street,Extremely Difficult,-3.0,16.666666666666668,,16.666666666666668,0,1
16.0,SIR,35,Williams,13.0,+1 Lap,0,Other,1,2018,6,13.0,72.521,0,Monte Carlo,3.337,19,Street,Extremely Difficult,3.0,16.333333333333332,,16.333333333333332,0,1
17.0,STR,18,Williams,17.0,+2 Laps,0,Other,1,2018,6,18.0,73.323,0,Monte Carlo,3.337,19,Street,Extremely Difficult,0.0,11.0,,11.0,0,1
18.0,LEC,16,Kick Sauber,14.0,Collision,0,Other,1,2018,6,14.0,72.714,0,Monte Carlo,3.337,19,Street,Extremely Difficult,4.0,11.666666666666666,,11.666666666666666,0,1
19.0,HAR,28,Racing Bulls,15.0,Collision,0,Other,1,2018,6,16.0,73.179,0,Monte Carlo,3.337,19,Street,Extremely Difficult,4.0,14.0,,14.0,0,1
20.0,ALO,14,McLaren,7.0,Gearbox,0,Mechanical,1,2018,6,7.0,72.11,0,Monte Carlo,3.337,19,Street,Extremely Difficult,13.0,7.333333333333333,,7.333333333333333,0,1
1.0,VET,5,Ferrari,1.0,Finished,1,Finished,0,2018,7,1.0,70.764,0,Montréal,4.361,14,Permanent,Easy,0.0,3.3333333333333335,,3.3333333333333335,0,1
2.0,BOT,77,Mercedes,2.0,Finished,1,Finished,0,2018,7,2.0,70.857,0,Montréal,4.361,14,Permanent,Easy,0.0,7.0,,7.0,0,1
3.0,VER,33,Red Bull Racing,3.0,Finished,1,Finished,0,2018,7,3.0,70.937,0,Montréal,4.361,14,Permanent,Easy,0.0,9.333333333333334,,9.333333333333334,0,1
4.0,RIC,3,Red Bull Racing,6.0,Finished,1,Finished,0,2018,7,6.0,71.116,0,Montréal,4.361,14,Permanent,Easy,-2.0,7.666666666666667,,7.666666666666667,0,1
5.0,HAM,44,Mercedes,4.0,Finished,1,Finished,0,2018,7,4.0,70.996,0,Montréal,4.361,14,Permanent,Easy,1.0,1.6666666666666667,,1.6666666666666667,0,1
6.0,RAI,7,Ferrari,5.0,Finished,1,Finished,0,2018,7,5.0,71.095,0,Montréal,4.361,14,Permanent,Easy,1.0,7.666666666666667,,7.666666666666667,0,1
