Position,Abbreviation,DriverNumber,TeamName,GridPosition,Status,RaceTime_Sec,PitStops,IsWetRace,Year,Round,Circuit
6.0,BOR,5,Kick Sauber,7.0,Finished,66.169,0,0,2025,14,Budapest
7.0,STR,18,Aston Martin,6.0,Finished,68.174,0,0,2025,14,Budapest
8.0,LAW,30,Racing Bulls,9.0,Finished,69.451,0,0,2025,14,Budapest
9.0,VER,1,Red Bull Racing,8.0,Finished,72.645,0,0,2025,14,Budapest
10.0,ANT,12,Mercedes,15.0,Lapped,7.649,0,0,2025,14,Budapest
11.0,HAD,6,Racing Bulls,10.0,Lapped,8.5,0,0,2025,14,Budapest
12.0,HAM,44,Ferrari,12.0,Lapped,9.861,0,0,2025,14,Budapest
13.0,HUL,27,Kick Sauber,18.0,Lapped,31.268,0,0,2025,14,Budapest
14.0,SAI,55,Williams,13.0,Lapped,33.326,0,0,2025,14,Budapest
15.0,ALB,23,Williams,19.0,Lapped,38.111,0,0,2025,14,Budapest
16.0,OCO,31,Haas F1 Team,17.0,Lapped,45.258,0,0,2025,14,Budapest
17.0,TSU,22,Red Bull Racing,20.0,Lapped,46.943,0,0,2025,14,Budapest
18.0,COL,43,Alpine,14.0,Lapped,47.37,0,0,2025,14,Budapest
19.0,GAS,10,Alpine,16.0,Lapped,56.344,0,0,2025,14,Budapest
20.0,BEA,87,Haas F1 Team,11.0,Retired,,0,0,2025,14,Budapest
